Topic,fiscal_year,duration_days_sum,duration_days_avg,award_amount_sum,award_amount_avg,num_projects
Top-Level: Oncology & Genetic Diseases,2006,131031.0,391.1373134328358,123603042.0,368964.30447761196,335
Top-Level: Oncology & Genetic Diseases,2007,145673.0,399.1041095890411,138379116.0,379120.86575342464,365
Top-Level: Oncology & Genetic Diseases,2008,164427.0,418.3893129770992,155020324.0,394453.7506361323,393
Top-Level: Oncology & Genetic Diseases,2009,187182.0,438.3653395784543,173406817.0,406104.95784543327,427
Top-Level: Oncology & Genetic Diseases,2010,167045.0,413.4777227722772,185359685.0,458811.10148514854,404
Top-Level: Oncology & Genetic Diseases,2011,136638.0,409.09580838323353,147514351.0,441659.73353293416,334
Top-Level: Oncology & Genetic Diseases,2012,141092.0,396.3258426966292,147293853.0,413746.77808988764,356
Top-Level: Oncology & Genetic Diseases,2013,144820.0,423.4502923976608,140491433.0,410793.66374269006,342
Top-Level: Oncology & Genetic Diseases,2014,131096.0,424.2588996763754,137387361.0,444619.2912621359,309
Top-Level: Oncology & Genetic Diseases,2015,129036.0,431.55852842809367,129772106.0,434020.4214046823,299
Top-Level: Oncology & Genetic Diseases,2016,120184.0,403.3020134228188,124674664.0,418371.355704698,298
Top-Level: Oncology & Genetic Diseases,2017,134154.0,434.15533980582524,131958133.0,427048.9741100324,309
Top-Level: Oncology & Genetic Diseases,2018,134692.0,394.99120234604106,130103311.0,381534.63636363635,341
Top-Level: Oncology & Genetic Diseases,2019,117837.0,417.86170212765956,110885564.0,393211.21985815605,282
Top-Level: Oncology & Genetic Diseases,2020,133179.0,426.8557692307692,138693045.0,444528.9903846154,312
Top-Level: Oncology & Genetic Diseases,2021,132306.0,410.888198757764,144367228.0,448345.4285714286,322
Top-Level: Oncology & Genetic Diseases,2022,127048.0,397.025,151181149.0,472441.090625,320
Top-Level: Oncology & Genetic Diseases,2023,142586.0,401.6507042253521,165389435.0,465885.7323943662,355
Top-Level: Oncology & Genetic Diseases,2024,138899.0,393.4815864022663,176272645.0,499355.93484419264,353
Top-Level: Oncology & Genetic Diseases,2025,116461.0,381.83934426229507,166302918.0,545255.468852459,305
Top-Level: Organ-Specific Systems & Developmental Health,2006,336677.0,403.689448441247,308351929.0,369726.5335731415,834
Top-Level: Organ-Specific Systems & Developmental Health,2007,375148.0,406.4442036836403,342342189.0,370901.61321776814,923
Top-Level: Organ-Specific Systems & Developmental Health,2008,407368.0,415.68163265306123,364425355.0,371862.60714285716,980
Top-Level: Organ-Specific Systems & Developmental Health,2009,494307.0,433.22261174408413,459278534.0,402522.8168273444,1141
Top-Level: Organ-Specific Systems & Developmental Health,2010,473379.0,439.94330855018586,536329811.0,498447.779739777,1076
Top-Level: Organ-Specific Systems & Developmental Health,2011,381426.0,413.6941431670282,390159618.0,423166.6138828633,922
Top-Level: Organ-Specific Systems & Developmental Health,2012,396835.0,418.6023206751055,382129979.0,403090.6951476793,948
Top-Level: Organ-Specific Systems & Developmental Health,2013,371705.0,434.23481308411215,339770329.0,396927.9544392523,856
Top-Level: Organ-Specific Systems & Developmental Health,2014,340794.0,417.1285189718482,350545313.0,429064.0305997552,817
Top-Level: Organ-Specific Systems & Developmental Health,2015,360511.0,426.13593380614657,361412452.0,427201.4799054373,846
Top-Level: Organ-Specific Systems & Developmental Health,2016,369558.0,411.53452115812917,389921263.0,434210.7605790646,898
Top-Level: Organ-Specific Systems & Developmental Health,2017,397210.0,411.1904761904762,404637708.0,418879.6149068323,966
Top-Level: Organ-Specific Systems & Developmental Health,2018,421455.0,423.1475903614458,421651271.0,423344.6495983936,996
Top-Level: Organ-Specific Systems & Developmental Health,2019,388871.0,425.4606126914661,424615158.0,464568.00656455144,914
Top-Level: Organ-Specific Systems & Developmental Health,2020,438440.0,435.8250497017893,462749186.0,459989.25049701787,1006
Top-Level: Organ-Specific Systems & Developmental Health,2021,400876.0,426.01062699256113,449182418.0,477345.82146652497,941
Top-Level: Organ-Specific Systems & Developmental Health,2022,423855.0,420.0743310208127,503878400.0,499383.94449950446,1009
Top-Level: Organ-Specific Systems & Developmental Health,2023,436544.0,419.75384615384615,543883746.0,522965.1403846154,1040
Top-Level: Organ-Specific Systems & Developmental Health,2024,416450.0,398.51674641148327,552261759.0,528480.15215311,1045
Top-Level: Organ-Specific Systems & Developmental Health,2025,337293.0,373.9390243902439,503853764.0,558596.1906873614,902
Top-Level: Molecular & Cellular Biology,2006,351981.0,402.7242562929062,311623350.0,356548.45537757437,874
Top-Level: Molecular & Cellular Biology,2007,388384.0,407.1111111111111,353675319.0,370728.8459119497,954
Top-Level: Molecular & Cellular Biology,2008,417557.0,414.24305555555554,370546858.0,367606.0099206349,1008
Top-Level: Molecular & Cellular Biology,2009,503433.0,425.9162436548223,452865044.0,383134.55499153974,1182
Top-Level: Molecular & Cellular Biology,2010,489537.0,439.0466367713004,498248627.0,446859.7551569507,1115
Top-Level: Molecular & Cellular Biology,2011,371264.0,399.2086021505376,369029098.0,396805.48172043014,930
Top-Level: Molecular & Cellular Biology,2012,409566.0,414.1213346814965,385029468.0,389311.8988877654,989
Top-Level: Molecular & Cellular Biology,2013,381564.0,425.3779264214047,353512091.0,394104.89520624303,897
Top-Level: Molecular & Cellular Biology,2014,362898.0,412.8532423208191,381308161.0,433797.6803185438,879
Top-Level: Molecular & Cellular Biology,2015,382480.0,415.7391304347826,394401423.0,428697.1989130435,920
Top-Level: Molecular & Cellular Biology,2016,408286.0,406.6593625498008,431748464.0,430028.35059760953,1004
Top-Level: Molecular & Cellular Biology,2017,445876.0,407.5648994515539,455867108.0,416697.5393053017,1094
Top-Level: Molecular & Cellular Biology,2018,479280.0,415.3206239168111,506197509.0,438646.02166377817,1154
Top-Level: Molecular & Cellular Biology,2019,444484.0,421.71157495256165,496546591.0,471106.82258064515,1054
Top-Level: Molecular & Cellular Biology,2020,484471.0,427.9779151943463,563042976.0,497387.7879858657,1132
Top-Level: Molecular & Cellular Biology,2021,447508.0,418.62301216089804,507251404.0,474510.2001870907,1069
Top-Level: Molecular & Cellular Biology,2022,475479.0,421.15057573073517,595884341.0,527798.3534100974,1129
Top-Level: Molecular & Cellular Biology,2023,471640.0,412.6334208223972,599023730.0,524080.25371828524,1143
Top-Level: Molecular & Cellular Biology,2024,457106.0,396.105719237435,566325606.0,490750.0918544194,1154
Top-Level: Molecular & Cellular Biology,2025,364314.0,375.5814432989691,543438464.0,560245.8391752577,970
Top-Level: Omics & Data Science,2006,438235.0,417.3666666666667,378356648.0,360339.66476190474,1050
Top-Level: Omics & Data Science,2007,455142.0,408.93261455525607,399599521.0,359029.2192273136,1113
Top-Level: Omics & Data Science,2008,485082.0,418.53494391717,415037509.0,358099.6626402071,1159
Top-Level: Omics & Data Science,2009,587185.0,435.920564216778,528385929.0,392268.6926503341,1347
Top-Level: Omics & Data Science,2010,567643.0,442.7792511700468,592183793.0,461921.83541341656,1282
Top-Level: Omics & Data Science,2011,455140.0,408.9308176100629,453287581.0,407266.469901168,1113
Top-Level: Omics & Data Science,2012,477594.0,410.3041237113402,447422393.0,384383.49914089346,1164
Top-Level: Omics & Data Science,2013,463120.0,434.0393626991565,421545415.0,395075.36551077786,1067
Top-Level: Omics & Data Science,2014,426143.0,419.01966568338247,449527266.0,442013.0442477876,1017
Top-Level: Omics & Data Science,2015,445861.0,419.83145009416194,464543091.0,437422.8728813559,1062
Top-Level: Omics & Data Science,2016,461327.0,409.340727595386,493800998.0,438155.2777284827,1127
Top-Level: Omics & Data Science,2017,499340.0,409.63084495488107,515391588.0,422798.6776045939,1219
Top-Level: Omics & Data Science,2018,549874.0,424.2854938271605,559910809.0,432029.9452160494,1296
Top-Level: Omics & Data Science,2019,496673.0,421.6239388794567,554364714.0,470598.2292020373,1178
Top-Level: Omics & Data Science,2020,554247.0,432.32995319812795,632815761.0,493616.03822152887,1282
Top-Level: Omics & Data Science,2021,512631.0,425.06716417910445,589213955.0,488568.7852404643,1206
Top-Level: Omics & Data Science,2022,549734.0,419.32418001525554,692405674.0,528150.7810831426,1311
Top-Level: Omics & Data Science,2023,564363.0,424.6523702031603,716051681.0,538789.8276899925,1329
Top-Level: Omics & Data Science,2024,528677.0,398.10015060240966,670135738.0,504620.2846385542,1328
Top-Level: Omics & Data Science,2025,423218.0,375.8596802841918,627209938.0,557024.811722913,1126
"Top-Level: Diagnostics, Therapeutics & Interventions",2006,335330.0,406.46060606060604,312990585.0,379382.5272727273,825
"Top-Level: Diagnostics, Therapeutics & Interventions",2007,361119.0,405.2962962962963,359896806.0,403924.58585858584,891
"Top-Level: Diagnostics, Therapeutics & Interventions",2008,404192.0,415.40801644398766,381670287.0,392261.34326824255,973
"Top-Level: Diagnostics, Therapeutics & Interventions",2009,503223.0,431.95107296137337,465951295.0,399958.1931330472,1165
"Top-Level: Diagnostics, Therapeutics & Interventions",2010,490204.0,439.64484304932733,496683377.0,445455.94349775783,1115
"Top-Level: Diagnostics, Therapeutics & Interventions",2011,387428.0,405.68376963350784,409752355.0,429060.05759162304,955
"Top-Level: Diagnostics, Therapeutics & Interventions",2012,419451.0,414.0681145113524,412522204.0,407228.23692003946,1013
"Top-Level: Diagnostics, Therapeutics & Interventions",2013,394703.0,429.025,389525128.0,423396.8782608696,920
"Top-Level: Diagnostics, Therapeutics & Interventions",2014,366250.0,419.0503432494279,413320142.0,472906.3409610984,874
"Top-Level: Diagnostics, Therapeutics & Interventions",2015,366119.0,418.4217142857143,393797803.0,450054.632,875
"Top-Level: Diagnostics, Therapeutics & Interventions",2016,386722.0,408.7970401691332,408843945.0,432181.7600422833,946
"Top-Level: Diagnostics, Therapeutics & Interventions",2017,424594.0,412.62779397473275,441096587.0,428665.2934888241,1029
"Top-Level: Diagnostics, Therapeutics & Interventions",2018,466749.0,427.0347666971638,469908494.0,429925.42909423605,1093
"Top-Level: Diagnostics, Therapeutics & Interventions",2019,429498.0,430.79037111334003,477397674.0,478834.17652958876,997
"Top-Level: Diagnostics, Therapeutics & Interventions",2020,449661.0,431.1227229146692,529713815.0,507875.18216682645,1043
"Top-Level: Diagnostics, Therapeutics & Interventions",2021,429289.0,425.4598612487612,498110985.0,493667.9732408325,1009
"Top-Level: Diagnostics, Therapeutics & Interventions",2022,450660.0,420.0,589304031.0,549211.5852749301,1073
"Top-Level: Diagnostics, Therapeutics & Interventions",2023,470469.0,424.99457994579944,616627119.0,557025.4010840108,1107
"Top-Level: Diagnostics, Therapeutics & Interventions",2024,446139.0,401.2041366906475,559460883.0,503112.3048561151,1112
"Top-Level: Diagnostics, Therapeutics & Interventions",2025,359868.0,377.2201257861635,545074280.0,571356.6876310273,954
Top-Level: Population & Environmental Health,2006,368985.0,406.81918412348404,356672930.0,393244.68577728776,907
Top-Level: Population & Environmental Health,2007,408727.0,407.91117764471056,384564156.0,383796.5628742515,1002
Top-Level: Population & Environmental Health,2008,447342.0,416.5195530726257,399239626.0,371731.4953445065,1074
Top-Level: Population & Environmental Health,2009,551806.0,438.9864757358791,506744010.0,403137.63723150356,1257
Top-Level: Population & Environmental Health,2010,528023.0,437.1051324503311,560335711.0,463854.065397351,1208
Top-Level: Population & Environmental Health,2011,444253.0,416.35707591377695,446471675.0,418436.4339268978,1067
Top-Level: Population & Environmental Health,2012,453049.0,418.71441774491683,443996002.0,410347.50646950095,1082
Top-Level: Population & Environmental Health,2013,434440.0,431.8489065606362,429581194.0,427019.0795228628,1006
Top-Level: Population & Environmental Health,2014,396783.0,417.22712933753945,446101160.0,469086.39327024185,951
Top-Level: Population & Environmental Health,2015,418075.0,427.9170931422723,451445430.0,462073.11156601843,977
Top-Level: Population & Environmental Health,2016,428559.0,415.67313288069835,464924460.0,450945.1600387973,1031
Top-Level: Population & Environmental Health,2017,464688.0,419.01532912533816,477962378.0,430985.0117222723,1109
Top-Level: Population & Environmental Health,2018,505955.0,432.0708795900939,531344606.0,453752.8659265585,1171
Top-Level: Population & Environmental Health,2019,454891.0,427.12769953051645,531398014.0,498965.27136150235,1065
Top-Level: Population & Environmental Health,2020,511556.0,437.2273504273504,602775312.0,515192.57435897435,1170
Top-Level: Population & Environmental Health,2021,461388.0,429.5977653631285,547156433.0,509456.64152700186,1074
Top-Level: Population & Environmental Health,2022,500564.0,426.011914893617,635834408.0,541135.6663829787,1175
Top-Level: Population & Environmental Health,2023,513964.0,427.94671107410494,661009829.0,550382.8717735221,1201
Top-Level: Population & Environmental Health,2024,473790.0,400.83756345177665,633856182.0,536257.345177665,1182
Top-Level: Population & Environmental Health,2025,377192.0,375.31542288557216,582448041.0,579550.2895522388,1005
Top-Level: Cross-Cutting & Enabling Areas,2006,314276.0,410.81830065359475,254499731.0,332679.38692810456,765
Top-Level: Cross-Cutting & Enabling Areas,2007,314924.0,398.13400758533504,275941185.0,348851.05562579015,791
Top-Level: Cross-Cutting & Enabling Areas,2008,341430.0,408.40909090909093,291668938.0,348886.2894736842,836
Top-Level: Cross-Cutting & Enabling Areas,2009,411857.0,424.1575695159629,369696785.0,380738.192584964,971
Top-Level: Cross-Cutting & Enabling Areas,2010,418965.0,439.6274921301154,421421089.0,442204.7103882476,953
Top-Level: Cross-Cutting & Enabling Areas,2011,318564.0,406.85057471264366,303295157.0,387350.13665389526,783
Top-Level: Cross-Cutting & Enabling Areas,2012,345140.0,409.4187425860024,314284524.0,372816.7544483986,843
Top-Level: Cross-Cutting & Enabling Areas,2013,327079.0,422.5826873385013,303553449.0,392187.9186046512,774
Top-Level: Cross-Cutting & Enabling Areas,2014,307650.0,412.3994638069705,325125916.0,435825.62466487935,746
Top-Level: Cross-Cutting & Enabling Areas,2015,327513.0,406.8484472049689,343338831.0,426507.8645962733,805
Top-Level: Cross-Cutting & Enabling Areas,2016,365139.0,404.81042128603104,377616948.0,418644.066518847,902
Top-Level: Cross-Cutting & Enabling Areas,2017,389312.0,403.4321243523316,397612569.0,412033.75025906734,965
Top-Level: Cross-Cutting & Enabling Areas,2018,419445.0,402.5383877159309,417858234.0,401015.57965451054,1042
Top-Level: Cross-Cutting & Enabling Areas,2019,403297.0,420.97807933194156,432030976.0,450971.79123173276,958
Top-Level: Cross-Cutting & Enabling Areas,2020,433084.0,425.00883218842,482205928.0,473214.8459273798,1019
Top-Level: Cross-Cutting & Enabling Areas,2021,407879.0,418.3374358974359,458857914.0,470623.50153846154,975
Top-Level: Cross-Cutting & Enabling Areas,2022,440147.0,415.23301886792456,544029932.0,513235.7849056604,1060
Top-Level: Cross-Cutting & Enabling Areas,2023,447789.0,420.45915492957744,556830748.0,522845.77276995307,1065
Top-Level: Cross-Cutting & Enabling Areas,2024,404936.0,391.6208897485493,529718177.0,512299.9777562863,1034
Top-Level: Cross-Cutting & Enabling Areas,2025,343005.0,376.92857142857144,502486054.0,552182.4769230769,910
