,fiscal_year,Main_Organization,agency_ic_admin_name,award_amount,duration_days,organization_org_state,agency_state
160,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,126468.0,364.0,PA,MD
161,2006,University of Pittsburgh,National Institute of Mental Health,285547.0,364.0,PA,MD
162,2006,University of Pittsburgh,National Cancer Institute,318062.0,364.0,PA,MD
163,2006,University of Pittsburgh,National Institute on Aging,139705.0,364.0,PA,MD
164,2006,University of Pittsburgh,National Heart Lung and Blood Institute,220295.0,364.0,PA,MD
165,2006,University of Pittsburgh,National Institute of Mental Health,1602207.0,730.0,PA,MD
166,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,157150.0,319.0,PA,MD
167,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,329183.0,347.0,PA,MD
168,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,250742.0,364.0,PA,MD
169,2006,University of Pittsburgh,National Institute of Biomedical Imaging and Bioengineering,41104.0,364.0,PA,MD
170,2006,University of Pittsburgh,National Cancer Institute,76261.0,364.0,PA,MD
171,2006,University of Pittsburgh,National Cancer Institute,38825.0,364.0,PA,MD
172,2006,University of Pittsburgh,National Institute on Aging,63419.0,364.0,PA,MD
173,2006,University of Pittsburgh,National Institute on Aging,41104.0,364.0,PA,MD
174,2006,University of Pittsburgh,National Institute of Mental Health,148490.0,331.0,PA,MD
175,2006,University of Pittsburgh,National Institute of Arthritis and Musculoskeletal and Skin Diseases,383027.0,364.0,PA,MD
176,2006,University of Pittsburgh,National Institute on Drug Abuse,180702.0,364.0,PA,MD
177,2006,University of Pittsburgh,National Cancer Institute,74250.0,345.0,PA,MD
178,2006,University of Pittsburgh,National Institute of Biomedical Imaging and Bioengineering,185625.0,352.0,PA,MD
179,2006,University of Pittsburgh,National Institute of Environmental Health Sciences,45008.0,364.0,PA,NC
180,2006,University of Pittsburgh,National Institute of Mental Health,273302.0,364.0,PA,MD
181,2006,University of Pittsburgh,National Institute of Mental Health,159746.0,364.0,PA,MD
182,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,48796.0,364.0,PA,MD
183,2006,University of Pittsburgh,National Institute of General Medical Sciences,311136.0,364.0,PA,MD
184,2006,University of Pittsburgh,National Institute of Mental Health,505806.0,517.0,PA,MD
185,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,178363.0,364.0,PA,MD
186,2006,University of Pittsburgh,National Cancer Institute,77436.0,304.0,PA,MD
187,2006,University of Pittsburgh,National Cancer Institute,93382.0,364.0,PA,MD
188,2006,University of Pittsburgh,National Heart Lung and Blood Institute,501505.0,364.0,PA,MD
189,2006,University of Pittsburgh,National Heart Lung and Blood Institute,980610.0,364.0,PA,MD
190,2006,University of Pittsburgh,National Heart Lung and Blood Institute,54404.0,364.0,PA,MD
191,2006,University of Pittsburgh,National Cancer Institute,128015.0,364.0,PA,MD
192,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,274898.0,364.0,PA,MD
193,2006,University of Pittsburgh,National Institute on Aging,113830.0,334.0,PA,MD
194,2006,University of Pittsburgh,National Cancer Institute,397054.0,317.0,PA,MD
195,2006,University of Pittsburgh,National Institute of Mental Health,643684.0,333.0,PA,MD
196,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,22000.0,364.0,PA,MD
197,2006,University of Pittsburgh,National Eye Institute,317398.0,547.0,PA,MD
198,2006,University of Pittsburgh,National Institute of Mental Health,650538.0,364.0,PA,MD
199,2006,University of Pittsburgh,National Institute for Occupational Safety and Health,78548.0,730.0,PA,GA
200,2006,University of Pittsburgh,National Heart Lung and Blood Institute,700368.0,364.0,PA,MD
201,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,148725.0,364.0,PA,MD
202,2006,University of Pittsburgh,National Cancer Institute,270576.0,364.0,PA,MD
203,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,382945.0,364.0,PA,MD
204,2006,University of Pittsburgh,National Center for Research Resources,228555.0,364.0,PA,MD
205,2006,University of Pittsburgh,National Institute of Biomedical Imaging and Bioengineering,32198.0,364.0,PA,MD
206,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,1579985.0,364.0,PA,MD
207,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,68907.0,730.0,PA,MD
208,2006,University of Pittsburgh,National Institute of Mental Health,468003.0,364.0,PA,MD
209,2006,University of Pittsburgh,National Heart Lung and Blood Institute,128493.0,364.0,PA,MD
210,2006,University of Pittsburgh,National Heart Lung and Blood Institute,422178.0,730.0,PA,MD
211,2006,University of Pittsburgh,National Cancer Institute,52048.0,364.0,PA,MD
212,2006,University of Pittsburgh,National Cancer Institute,257429.0,353.0,PA,MD
213,2006,University of Pittsburgh,National Institute of General Medical Sciences,311527.0,730.0,PA,MD
214,2006,University of Pittsburgh,National Institute of General Medical Sciences,287294.0,364.0,PA,MD
215,2006,University of Pittsburgh,National Institute of Mental Health,178917.0,364.0,PA,MD
216,2006,University of Pittsburgh,National Heart Lung and Blood Institute,108271.0,364.0,PA,MD
217,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,263122.0,364.0,PA,MD
218,2006,University of Pittsburgh,National Cancer Institute,70000.0,364.0,PA,MD
219,2006,University of Pittsburgh,National Institute on Drug Abuse,458514.0,364.0,PA,MD
220,2006,University of Pittsburgh,National Institute of Arthritis and Musculoskeletal and Skin Diseases,269540.0,364.0,PA,MD
221,2006,University of Pittsburgh,National Cancer Institute,288417.0,364.0,PA,MD
222,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,31363.0,364.0,PA,MD
223,2006,University of Pittsburgh,National Heart Lung and Blood Institute,121280.0,364.0,PA,MD
224,2006,University of Pittsburgh,National Cancer Institute,404520.0,713.0,PA,MD
225,2006,University of Pittsburgh,National Institute on Aging,151645.0,364.0,PA,MD
226,2006,University of Pittsburgh,Agency for Healthcare Research and Quality,276029.0,364.0,PA,MD
227,2006,University of Pittsburgh,National Institute of Biomedical Imaging and Bioengineering,273292.0,730.0,PA,MD
228,2006,University of Pittsburgh,National Cancer Institute,168452.0,364.0,PA,MD
229,2006,University of Pittsburgh,National Institute of General Medical Sciences,278069.0,362.0,PA,MD
230,2006,University of Pittsburgh,National Institute on Drug Abuse,541286.0,231.0,PA,MD
231,2006,University of Pittsburgh,National Institute on Deafness and Other Communication Disorders,11408.0,364.0,PA,MD
232,2006,University of Pittsburgh,National Institute of Biomedical Imaging and Bioengineering,391332.0,364.0,PA,MD
233,2006,University of Pittsburgh,National Heart Lung and Blood Institute,327280.0,364.0,PA,MD
234,2006,University of Pittsburgh,National Institute on Alcohol Abuse and Alcoholism,163630.0,364.0,PA,MD
235,2006,University of Pittsburgh,National Heart Lung and Blood Institute,126630.0,364.0,PA,MD
236,2006,University of Pittsburgh,Public Health Program Office,450248.0,364.0,PA,GA
237,2006,University of Pittsburgh,National Institute of Arthritis and Musculoskeletal and Skin Diseases,571845.0,364.0,PA,MD
238,2006,University of Pittsburgh,National Institute on Alcohol Abuse and Alcoholism,248864.0,364.0,PA,MD
239,2006,University of Pittsburgh,National Cancer Institute,569921.0,321.0,PA,MD
240,2006,University of Pittsburgh,National Institute of General Medical Sciences,205915.0,364.0,PA,MD
241,2006,University of Pittsburgh,National Institute of Arthritis and Musculoskeletal and Skin Diseases,275829.0,730.0,PA,MD
242,2006,University of Pittsburgh,National Institute on Drug Abuse,291945.0,364.0,PA,MD
243,2006,University of Pittsburgh,National Institute of Mental Health,126630.0,364.0,PA,MD
244,2006,University of Pittsburgh,National Heart Lung and Blood Institute,1232844.0,364.0,PA,MD
245,2006,University of Pittsburgh,National Heart Lung and Blood Institute,108758.0,547.0,PA,MD
246,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,216538.0,168.0,PA,MD
247,2006,University of Pittsburgh,National Institute on Drug Abuse,48796.0,364.0,PA,MD
248,2006,University of Pittsburgh,National Institute of Mental Health,56614.0,355.0,PA,MD
249,2006,University of Pittsburgh,National Institute on Drug Abuse,335524.0,364.0,PA,MD
250,2006,University of Pittsburgh,National Institute of General Medical Sciences,223446.0,440.0,PA,MD
251,2006,University of Pittsburgh,Eunice Kennedy Shriver National Institute of Child Health and Human Development,1202716.0,339.0,PA,MD
252,2006,University of Pittsburgh,National Cancer Institute,74250.0,352.0,PA,MD
253,2006,University of Pittsburgh,National Institute on Alcohol Abuse and Alcoholism,1305851.0,364.0,PA,MD
254,2006,University of Pittsburgh,National Institute on Aging,362526.0,730.0,PA,MD
255,2006,University of Pittsburgh,National Heart Lung and Blood Institute,392749.0,730.0,PA,MD
256,2006,University of Pittsburgh,National Cancer Institute,131382.0,364.0,PA,MD
257,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,502309.0,364.0,PA,MD
258,2006,University of Pittsburgh,National Eye Institute,440380.0,364.0,PA,MD
259,2006,University of Pittsburgh,National Institute of Nursing Research,179479.0,730.0,PA,MD
260,2006,University of Pittsburgh,National Heart Lung and Blood Institute,361355.0,320.0,PA,MD
261,2006,University of Pittsburgh,National Institute on Aging,128597.0,364.0,PA,MD
262,2006,University of Pittsburgh,National Center for Research Resources,103697.0,364.0,PA,MD
263,2006,University of Pittsburgh,National Center for Research Resources,59256.0,364.0,PA,MD
264,2006,University of Pittsburgh,National Center for Research Resources,44442.0,364.0,PA,MD
265,2006,University of Pittsburgh,National Institute of Dental and Craniofacial Research,137260.0,30.0,PA,MD
266,2006,University of Pittsburgh,National Center for Environmental Health,511681.0,364.0,PA,GA
267,2006,University of Pittsburgh,National Center for Research Resources,201261.0,730.0,PA,MD
268,2006,University of Pittsburgh,National Cancer Institute,126305.0,364.0,PA,MD
269,2006,University of Pittsburgh,National Institute of Mental Health,185521.0,1095.0,PA,MD
270,2006,University of Pittsburgh,National Cancer Institute,117821.0,364.0,PA,MD
271,2006,University of Pittsburgh,National Center for Research Resources,645147.0,364.0,PA,MD
272,2006,University of Pittsburgh,National Institute of Dental and Craniofacial Research,145720.0,364.0,PA,MD
273,2006,University of Pittsburgh,National Heart Lung and Blood Institute,368169.0,364.0,PA,MD
274,2006,University of Pittsburgh,National Institute of General Medical Sciences,401077.0,364.0,PA,MD
275,2006,University of Pittsburgh,National Institute of General Medical Sciences,188513.0,364.0,PA,MD
276,2006,University of Pittsburgh,National Cancer Institute,261018.0,364.0,PA,MD
277,2006,University of Pittsburgh,National Institute of Mental Health,74250.0,486.0,PA,MD
278,2006,University of Pittsburgh,National Heart Lung and Blood Institute,333020.0,364.0,PA,MD
279,2006,University of Pittsburgh,National Institute of Environmental Health Sciences,332810.0,729.0,PA,NC
280,2006,University of Pittsburgh,National Institute on Aging,257137.0,333.0,PA,MD
281,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,127710.0,364.0,PA,MD
282,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,776346.0,729.0,PA,MD
283,2006,University of Pittsburgh,National Institute of Mental Health,529818.0,662.0,PA,MD
284,2006,University of Pittsburgh,National Cancer Institute,153630.0,364.0,PA,MD
285,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,222986.0,729.0,PA,MD
286,2006,University of Pittsburgh,National Institute of Mental Health,173429.0,364.0,PA,MD
287,2006,University of Pittsburgh,National Institute of Arthritis and Musculoskeletal and Skin Diseases,330317.0,364.0,PA,MD
288,2006,University of Pittsburgh,National Cancer Institute,263588.0,349.0,PA,MD
289,2006,University of Pittsburgh,National Institute of Dental and Craniofacial Research,253769.0,730.0,PA,MD
290,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,569345.0,350.0,PA,MD
291,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,167668.0,729.0,PA,MD
292,2006,University of Pittsburgh,National Institute of Mental Health,406115.0,364.0,PA,MD
293,2006,University of Pittsburgh,National Institute on Aging,418311.0,455.0,PA,MD
294,2006,University of Pittsburgh,National Institute of Mental Health,652572.0,364.0,PA,MD
295,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,248799.0,545.0,PA,MD
296,2006,University of Pittsburgh,National Institute of Allergy and Infectious Diseases,217779.0,364.0,PA,MD
297,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,248979.0,730.0,PA,MD
298,2006,University of Pittsburgh,National Heart Lung and Blood Institute,515885.0,360.0,PA,MD
299,2006,University of Pittsburgh,National Institute of Environmental Health Sciences,269379.0,364.0,PA,NC
300,2006,University of Pittsburgh,National Cancer Institute,42325.0,364.0,PA,MD
301,2006,University of Pittsburgh,National Institute of Diabetes and Digestive and Kidney Diseases,317462.0,364.0,PA,MD
302,2006,University of Pittsburgh,National Institute of Neurological Disorders and Stroke,270345.0,364.0,PA,MD
303,2006,University of Pittsburgh,Agency for Healthcare Research and Quality,72144.0,364.0,PA,MD
304,2006,University of Pittsburgh,National Institute on Aging,459594.0,333.0,PA,MD
305,2006,University of Pittsburgh,National Cancer Institute,328148.0,359.0,PA,MD
306,2006,University of Pittsburgh,National Library of Medicine,130124.0,1095.0,PA,MD
307,2006,University of Pittsburgh,National Cancer Institute,74250.0,336.0,PA,MD
