"Grantmaker.Name","Grantmaker.State","Recipient.Name","Recipient.City","Recipient.State.Country","Primary.Subject","Year.Authorized","Grant.Amount","Support.Strategies","Description"
"Grand Rapids Community Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI"," ",2023,20000,"General support","General Support"
"Community Foundation for Muskegon County","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,19100,"","YOUTH DEVELOPMENT"
"American Endowment Foundation","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,16750,"","HEALTH, GENERAL"
"Parkinson's Foundation","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,16200,"",""
"Grand Rapids Community Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI"," ",2023,16000,"General support","General Support"
"Fremont Area Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","School-based health care ",2023,15100,"","School Based Telehealth Behavioral Health Services"
"Mary Free Bed Rehabilitation Hospital","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2023,15000,"Program support;General support","PROGRAM SUPPORT"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Primary Care Partners","Grand Rapids","MI","Community health care ",2023,15000,"","For grant recipient&#039;s exempt purposes"
"Muscular Dystrophy Association","IL","Spectrum Health Foundation","Big Rapids","MI"," ",2023,15000,"","MEDICAL DIAGNOSIS"
"Wolverine World Wide Foundation","MI","Corewell Health","Grand Rapids","MI","Community health care ",2023,15000,"","Health"
"Peter and Joan Secchia Family Inc","MI","Corewell Health","Grand Rapids","MI","Community health care ",2023,15000,"General support","OPERATIONAL SUPPORT"
"Trust Uw William Gilbert","OH","Spectrum Health Foundation","Big Rapids","MI"," ",2023,12710,"","ANNUAL FUND"
"Raymond James Charitable Endowment Fund","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2023,12500,"General support","GENERAL SUPPORT"
"James and Shirley Balk Foundation","MI","Spectrum Health Helen Devos Children's Hospital","Grand Rapids","MI"," ",2023,11058,"General support","GENERAL SUPPORT"
"John W Blodgett Irrevocable Trust","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,10089,"General support","UNRESTRICTED GENERAL"
"American Academy of Pediatrics","IL","Spectrum Health Foundation","Grand Rapids","MI","Gun control ",2023,10000,"","GUN SAFETY, INJURY, VIOLENCE PREVENTION"
"The Fraternal Order of Eagles Foundation","OH","Spectrum Health Foundation","Big Rapids","MI"," ",2023,10000,"Equipment;Research","RESEARCH/EDUCATIONAL MATERIALS/EQUIPMENT/SUPPLIES"
"Delta Dental Plan of Michigan Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,10000,"","CHARITABLE DONATION"
"The Baum Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,10000,"","GENERAL CONTRIBUTIONS"
"Jack and Lija Romence Family Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2023,10000,"","CHARITABLE"
"Douglas & Sandra Dekock Family Foun C/o Douglas Dekock","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,10000,"","NON-PROFIT"
"Cdv5 Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,10000,"General support","GENERAL OPERATING"
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,10000,"General support","GENERAL OPERATING"
"Grand Rapids Community Foundation","MI","Spectrum Health Helen Devos Children's Hospital","Grand Rapids","MI"," ",2023,7500,"General support","General Support"
"Grand Haven Area Community Foundation Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,6830,"","FUNDRAISING SUPPORT"
"Washington University","MO","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2023,6250,"Research","RESEARCH"
"Evan's Victory Against Neuroblastoma Foundation Inc","MD","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,6000,"",""
"Mayo Clinic","MN","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2023,5853,"","SUPPORT CHARITABLE PROGRAMS"
"Robert Graham Hospital Fund Utgf","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,5507,"General support","UNRESTRICTED GENERAL"
"Anna C Gamble Foundation","IN","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,5000,"","EDUCATION"
"Perrigo Company Charitable Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2023,5000,"General support","GENERAL SUPPORT"
"The Aletheia Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2023,5000,"General support","GENERAL SUPPORT"
"Larry and Karen Mulder Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2023,5000,"General support","UNRESTRICTED GRANT TO GENERAL FUND"
"Frey Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2023,5000,"","To organize holiday celebrations for children &amp; youth receiving services at Helen DeVos Children&#039;s Hospital during the holiday season"
"Jim and Ginger Jurries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,5000,"General support","OPERATIONS"
"Rev Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Family services ",2023,5000,"Program support","PROJECT/PROGRAM - CHILD &amp; FAMILY LIFE PROGRAM"
"Onequest Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2023,5000,"General support","UNRESTRICTED GRANT TO GENERAL FUND"
"Peter C. & Emajean Cook Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2023,5000,"","EVENT SPONSOR"
"Grand Rapids Community Foundation","MI","Spectrum Health Helen Devos Children's Hospital","Grand Rapids","MI"," ",2023,5000,"General support","General Support"
"Grand Rapids Community Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI"," ",2023,5000,"","More Rooms/More Love"
"Enterprise Holdings Foundation","MO","Spectrum Health Foundation","Big Rapids","MI"," ",2023,4500,"Program support;General support","Program Support"
"Grand Rapids Community Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI","Information and communications ",2023,3165,"Program support","Leonard and Eileen Newman Fund Annual Distribution"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,2500,"General support","OPERATING SUPPORT"
"Ronald and Eva Kinney Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2023,2500,"Financial sustainability","COMING TOGETHER IN PURSUIT OF BETTER HEALTH FOR ALL GALA"
"Grand Rapids Community Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI"," ",2023,2500,"","To cover the costs of transportation to and from Cleveland in May 2023."
"Bank of America Charitable Foundation","NC","Spectrum Health Foundation","Big Rapids","MI"," ",2023,2001,"","PROGRAM/OPERATING SUPPORT"
"Johns Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2023,2000,"","CHARITABLE"
"Grand Rapids Community Foundation","MI","Spectrum Health Helen Devos Children's Hospital","Grand Rapids","MI"," ",2023,2000,"","We prefer that these funds be used in support of your Headquarters/49507 Project; however, we trust that will use the funds well however you see fit.  The Karen and Bill Lawrence family are new but strong supporters of your organization and this initiativ"
"Grand Rapids Community Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI","Graduate and professional education ",2023,2000,"","Seidman Dean&#039;s Advisory Board"
"Grand Rapids Community Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI","Higher education ",2023,2000,"Scholarships;Camperships","John Celestino Scholarship"
"Mr & Mrs Wayne B Lyon Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2023,1500,"General support","Operating Fund"
"Thomas and Carol Cracchiolo Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2023,1000,"General support","OPERATING FUND"
"Sandy Family Foundation Inc","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2023,1000,"","SUPPORT FOR MEDICAL ASSISTANCE"
"Rev Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2023,1000,"Program support","PROJECT/PROGRAM - CHRISTMAS GIFTS FOR PATIENTS"
"Michael and Andrea Abraham Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2023,1000,"Program support","PROJECT/PROGRAM - CHRISTMAS GIFTS FOR PATIENTS"
"Nate and Elissa Lowery Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2023,1000,"Program support","PROJECT/PROGRAM - CHRISTMAS GIFTS FOR PATIENTS"
"Grand Rapids Community Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI"," ",2023,1000,"General support","General Support"
"Grand Rapids Community Foundation","MI","Spectrum Health Helen Devos Children's Hospital","Grand Rapids","MI"," ",2023,1000,"","Year-end gift"
"Cunnington Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2023,500,"","HEALTH CARE"
"Grand Rapids Community Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI"," ",2023,500,"General support","General Support"
"John E Fetzer Institute Inc","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2023,400,"","MATCHING GRANT"
"Jpmorgan Chase Foundation","NY","Spectrum Health Foundation","Big Rapids","MI"," ",2023,260,"General support","GENERAL OPERATING SUPPORT"
"Management Partners Foundation","IL","Corewell Health","Grand Rapids","MI","Community health care ",2023,250,"","Donation"
"Douglas & Maria Devos Foundation","MI","Corewell Health","Grand Rapids","MI","Education ",2023,250,"Endowments","PROJECT/PROGRAM - WINCHESTER ENDOWED FUND FOR CARDIOVASCULAR EXCELLENCE"
"Grand Rapids Community Foundation","MI","Spectrum Health Helen Devos Children's Hospital","Grand Rapids","MI"," ",2023,250,"Annual campaigns;Program support","Rita Didrichsons Fund Annual Distribution"
"The Pfizer Foundation Inc","NY","Spectrum Health Foundation","Big Rapids","MI"," ",2023,158,"","MATCHING GIFTS"
"The Pfizer Foundation Inc","NY","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2023,100,"","VOLUNTEER PROGRAM"
"Bank of America Charitable Foundation","NC","Spectrum Health Foundation","Big Rapids","MI"," ",2023,75,"","PROGRAM/OPERATING SUPPORT"
"The Pfizer Foundation Inc","NY","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2023,50,"","MATCHING GIFTS"
"GE Aerospace Foundation.","CT","Spectrum Health Foundation","Big Rapids","MI"," ",2023,25,"","MATCHING GIFTS"
"Kent Community Health Foundation","MI","Spectrum Health Hospitals","Grand Rapids","MI","Religion ",2022,6137071,"","Support of the SHH Mission"
"Natl Christian Charitable Foundation Inc","GA","Spectrum Health Foundation","Big Rapids","MI"," ",2022,2518200,"General support","SUPPORT"
"Wk Kellogg Foundation","MI","Corewell Health Foundation West Michigan","Grand Rapids","MI","Family services ",2022,1200000,"","provide core support for the Strong Beginnings Healthy Start program to improve the health and well-being of African American and Latinx women, men, and their babies, from pregnancy through early childhood"
"Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,1000000,"Capital campaigns","CAPITAL CAMPAIGN"
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2022,1000000,"Program support","PROJECT/PROGRAM - CHILD LIFE PROGRAM"
"American Endowment Foundation","OH","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,957250,"","HEALTH, GENERAL"
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Diseases and conditions ",2022,750000,"Program support","PROJECT/PROGRAM - HEART &amp; LUNG TRANSPLANT PROGRAM"
"The Cold Heading Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,20000,"",""
"Flagstar Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,20000,"Leadership and professional development","To support project search program with additional resources, specifically to fund a program assistant"
"University of Kansas Medical Center Research Institute","KS","Corewell Health","Grand Rapids","MI","Community health care ",2018,17605,"General support","Support"
"The Skillman Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,16700,"","Active Employees/Trustees and Retired Employees/Trustees Matching Gift"
"Mayo Clinic","MN","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2018,16428,"","Support charitable programs"
"The Rodney Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,15000,"","501 (C) 3"
"Barron Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,15000,"","Gift to general fund"
"Springview Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Specialty hospital care ",2018,15000,"","Iatric oncology child life progra"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,15000,"General support","3Eneral operating support"
"June and Cecil McDole Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,12500,"","Medical research"
"Alliance for Clinical Trials in Oncology Foundation","IL","Spectrum Health Hospitals","Grand Rapids","MI","Cancers ",2018,12284,"Research","Institutional support for cancer research"
"John W Blodgett Irrevocable Trust","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,11028,"General support","UNRESTRICTED GENERAL"
"The Gerber Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Youth services ",2018,10000,"Program support","Youth Programming"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,10000,"General support","OPERATING SUPPORT"
"Ran Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,10000,"General support","General Fund"
"Rodger and Loree Wasserman Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,10000,"","CHARITABLE"
"John Dykema and Michele Maly-Dykema Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,10000,"General support","GENERAL SUPPORT"
"Grand Haven Area Community Foundation Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,10000,"","Pediatric cardiology"
"Fremont Area Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Exercise ",2018,10000,"","Coordinated Approach to Child Health (CATCH)"
"Gerson Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,10000,"General support","General support"
"Beatrice & Reymont Paul Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,10000,"","Furtherance of recipients purposes"
"Jerry & Marcia Tubergen Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,10000,"General support","Unrestricted Grant to General Fund"
"Richard B Messer FBO Pennock Hospital","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,10000,"","Pennock hospital"
"Community Foundation for Muskegon County","MI","Spectrum Health Ludington Hospital Foundation","Ludington","MI"," ",2018,8501,"Program support","Program development"
"Others First Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,8000,"",""
"Donor Advised Charitable Giving, Inc. (dba: DAFgiving360)","CO","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Human services ",2018,7930,"","HEALTH &amp; HUMAN SERVICES"
"The Mall Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,7500,"","Wish list"
"John Bouma Sr and Sharon K Bouma Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,7500,"General support;Annual campaigns","Annual support for general operations"
"Jandernoa Foundation C/o Michael Jandernoa","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,7500,"General support","General Support"
"The D Dan and Betty Kahn Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,6250,"General support","GENERAL CHARITABLE SUPPORT"
"Donor Advised Charitable Giving, Inc. (dba: DAFgiving360)","CO","Spectrum Health Foundation","Grand Rapids","MI","Human services ",2018,6250,"","HEALTH &amp; HUMAN SERVICES"
"American Thrombosis and Hemostasis Network Inc","NY","Spectrum Health Hospitals","Grand Rapids","MI","Education ",2018,6100,"Research;Leadership and professional development;Capacity-building and technical assistance","Mlof, data management capacity research"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2018,6000,"","$3,000 for Neo Natal Care &amp; $3,000 for the Renucci House"
"Malcolm and Beth Lowenstein Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,5150,"","Provide assistance and benefit the poor and underprivileged"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,5000,"General support","General Support"
"Karp Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,5000,"General support","UNRESTRICTED"
"Raymond James Charitable Endowment Fund","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,5000,"General support","GENERAL USE"
"Community Foundation of the Napa Valley","CA","Spectrum Health Hospitals","Grand Rapids","MI","Community and economic development ",2018,5000,"","TO PAY FOR THE TRAVEL EXPENSES OF THE GRAND RAPIDS INVEST HEALTH TEAM TO NAPA FOR A 3-DAY CONVENING ON AFFORDABLE HOUSING AND FOOD SECURITY WITH THE NAPA COUNTY INVEST HEALTH TEAM"
"Khan Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,5000,"General support","GENERAL PURPOSE CONTRIBUTION"
"Joseph Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,5000,"","Contribution"
"Hy and Greta Berkowitz Foundation","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,5000,"Continuing support;General support","Annual support"
"The Mall Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,5000,"","Autism assessment center"
"The Joslin Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,5000,"","Charitable"
"Larry and Karen Mulder Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,5000,"General support","Unrestricted grant to general fund"
"Jim and Ginger Jurries Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,5000,"Endowments","Endowment"
"Leslie Tassell Foundation DBA Tassell-Wisner-Bottrall Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,5000,"General support","General operating budget"
"Douglas & Sandra Dekock Family Foun C/o Douglas Dekock","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,5000,"","Non-profit"
"Albemarle Foundation","NC","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,5000,"","Program assistance"
"The Korff Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,5000,"","Charitable"
"Seizert Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,5000,"General support","General support"
"Robert Graham Hospital Fund Utgf","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,4914,"General support","UNRESTRICTED GENERAL"
"The Fruehauf Foundation","TX","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Welfare ",2018,4000,"General support","Public welfare operating support"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Gift distribution ",2018,4000,"","Holiday celebrations for children hospitalized during the 2018 holiday season."
"Borgwarner Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,3700,"",""
"The Scott and Barbara Greene Foundation","MI","Spectrum Health Foundation","Big Rapids","MI"," ",2018,3500,"","Health Care"
"Charles F Yeager Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2018,3500,"","QUALITY PATIENT CARE AND HAVING THE LATEST MEDICAL TECHNOLOGY"
"O'donovan Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,3500,"","Signatures Program"
"Runyon Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,3219,"","501 (C) (3) ORGANIZATION"
"Sieg Dunlap Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,3000,"","MEDICAL"
"The Wj and Lillian Kemler Foundation Margaret Savage President","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,3000,"General support","Unrestricted use"
"River City Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,2500,"General support","GENERAL SUPPORT"
"Ford Philanthropy","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,2500,"","Community needs"
"Lawrence a Sanders Foundation Inc J Daniel Brede Managing Director","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,2500,"Financial sustainability","Contribution to general fund to support charitable mission"
"Bank of America Charitable Foundation","NC","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,2500,"","Program/operating support"
"Perrigo Company Charitable Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,2500,"","Educational activities"
"Linda Petro Ulrey and Laurence A Ulrey Family Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,2500,"","Charitable purposes"
"Bayer Fund","MO","Corewell Health","Grand Rapids","MI","Scouting programs ",2018,2500,"","America&#039;s Farmers Grow Community"
"Marion and Robert Wyatt Foundation Co Dawda Mann Mulcahy & Sadler Plc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Human services ",2018,2400,"","Programs in education, health care &amp; social services for the poor"
"Johns Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,2000,"","CHARITABLE"
"James & Almeda Vander Waals Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,2000,"","Donation for operations"
"The Minkin Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,2000,"General support","General charitable purposes"
"Trugreen Foundation","TN","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,2000,"","Patient Care"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Reproductive health care ",2018,1700,"","United Lifestyles Maternal Infant Health Program"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Medical specialties ",2018,1500,"","Supporting the Pediatric Oncology Resource Team"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,1500,"","SRGC"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,1000,"General support","General Support"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,1000,"General support","General Support"
"Carmax Foundation","VA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2018,1000,"Volunteer development","VOLUNTEER TEAM-BUILDERS &amp; DRIVE"
"Haggarty Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,1000,"Annual campaigns","Annual Appeal"
"Mickey Shapiro Charitable Trust","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,1000,"","CHARITABLE WITHOUT RESTRICTIONS"
"Mervyn H & Leslie D Sternberg Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Diabetes ",2018,1000,"Research","SUPPORT MEDICAL EDUC. RESEARCH &amp; COMMUNITY INITIATIVES"
"Dryden Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2018,1000,"","CHARITABLE"
"Wonderful Life Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Nursing education ",2018,1000,"Faculty and staff development","Nursing Education &amp; Training Fund"
"Carl and Irene Morath Foundation Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Cancers ",2018,1000,"","Provide Cancer Patient unreibursed costs."
