Grantmaker Name,Grantmaker State,Recipient Name,Recipient City,Recipient State/Country,Primary Subject,Year Authorized,Grant Amount,Support Strategies,Description
Kaiser Foundation Hospitals,CA,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2020,112081,Research,Research / Project Support
The Carls Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2020,84180,,Nicu renovations
Marvin and Nola Goldman Foundation,MI,Henry Ford Health System,West Bloomfield,MI, ,2020,12040,,CONTRIBUTION
COMMUNITY FOUNDATION FOR PALM BEACH & MARTIN COUNTIES INC,FL,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2020,10000,General support,GENERAL SUPPORT
Weyerhaeuserday Foundation,MN,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2020,10000,General support,GENERAL OPERATING SUPPORT
Denso North America Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Disaster relief ,2020,10000,,COVID 19 Relief
United Jewish Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Health care quality ,2020,9250,,To support health care
Bank of America Charitable Foundation,NC,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2020,2500,General support,GENERAL SUPPORT
Bruce C Abrams Family Foundation,IL,Henry Ford Health System,West Bloomfield,MI,Education ,2020,2500,,BEVERLY AND ROBERT N. CANVASSER COMPASSION FUND
The Ralph C Wilson Jr Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2020,1000,,TRUSTEE DESIGNATED GRANT
Baird Foundation Inc,WI,Henry Ford Health System Foundation,Detroit,MI,Human services ,2020,75,,HEALTH AND HUMAN SERVICES
Detroit Lions Charities,MI,Henry Ford Health System Foundation,Detroit,MI,Community improvement ,2019,216000,,To support the detroit community
The Foundation of the American Assoc of Gynecological Laparoscopists,CA,Henry Ford Health System,West Bloomfield,MI, ,2019,24000,,Charitable
The John R and M Margrite Davis Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2019,10000,,MEDICAL
Weyerhaeuserday Foundation,MN,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2019,5000,General support,General support
Envision Healthcare Charitable Fund,TN,Henry Ford Health System,West Bloomfield,MI, ,2019,3000,General support,General
Bank of America Charitable Foundation,NC,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2019,1000,,PROGRAM/OPERATING SUPPORT
United Jewish Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Health care quality ,2018,527750,,TO SUPPORT HEALTH CARE
Kaiser Foundation Hospitals,CA,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2018,96036,Research,Research / Project Support
Marvin and Nola Goldman Foundation,MI,Henry Ford Health System,West Bloomfield,MI, ,2018,24350,,CONTRIBUTION
Racing for Kids C/o J Patrick Wright,MI,Henry Ford Health System Foundation,Detroit,MI,Health ,2018,20000,General support,General support
Weyerhaeuserday Foundation,MN,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2018,5000,General support,General operating support
The Craig and Karen Stull Family Foundation,AZ,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2018,1450,General support,General
United Jewish Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Health care quality ,2017,34800,,To support health care
Racing for Kids C/o J Patrick Wright,MI,Henry Ford Health System Foundation,Detroit,MI,Health ,2017,20000,General support,GENERAL SUPPORT
Marvin and Nola Goldman Foundation,MI,Henry Ford Health System,West Bloomfield,MI, ,2017,5150,,Contribution
Bank of America Charitable Foundation,NC,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2017,750,,PROGRAM/OPERATING SUPPORT
Bruce C Abrams Family Foundation,IL,Henry Ford Health System,West Bloomfield,MI, ,2017,500,General support,GENERAL
National Multiple Sclerosis Society,NY,Henry Ford Health Parent,Detroit,MI,Health ,2016,92564,,Research Grant
EAST TENNESSEE FOUNDATION,TN,Henry Ford Health System,West Bloomfield,MI, ,2016,67500,Research,Research
Racing for Kids C/o J Patrick Wright,MI,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,25000,General support,General support
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,20000,General support,
United Jewish Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Health care quality ,2016,5250,,To support health care
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,5000,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,5000,General support,
Fidelity Investments Charitable Gift Fund,MA,HENRY FORD HEALTH SYSTEM Office of Philanthropy One Ford Place Suite 5A,Detroit,MI, ,2016,1950,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,1500,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,1000,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,1000,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,200,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,200,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,100,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,100,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,100,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,100,General support,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2016,100,General support,
National Multiple Sclerosis Society,NY,Henry Ford Health Parent,Detroit,MI,Health ,2015,295056,,RESEARCH GRANT
Fidelity Investments Charitable Gift Fund,MA,HENRY FORD HEALTH SYSTEM Office of Philanthropy One Ford Place Suite,5a Detroit,MI, ,2015,160644,,
Richard and Jane Manoogian Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Health ,2015,100000,General support,Operating Fund
Racing for Kids C/o J Patrick Wright,MI,Henry Ford Health System Foundation,Detroit,MI,Health ,2015,30000,General support,General support
Weyerhaeuserday Foundation,MN,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2015,25000,General support,General operating support
Detroit Lions Charities,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2015,20000,General support,Support
Fidelity Investments Charitable Gift Fund,MA,HENRY FORD HEALTH SYSTEM Office of Philanthropy One Ford Place Suite,5a Detroit,MI, ,2015,5000,,
Fidelity Investments Charitable Gift Fund,MA,HENRY FORD HEALTH SYSTEM Office of Philanthropy One Ford Place Suite,5a Detroit,MI, ,2015,5000,,
The Foundation of the American Assoc of Gynecological Laparoscopists,CA,Henry Ford Health System,West Bloomfield,MI, ,2015,5000,,Charitable
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2015,1950,,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2015,1000,,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2015,915,,
The Dennis and Nancy Gershenson Family Foundaton,MI,Henry Ford Health System,West Bloomfield,MI, ,2015,500,General support,General
Newman Family Foundation,MI,Henry Ford Health System,West Bloomfield,MI, ,2015,500,General support,General
Fidelity Investments Charitable Gift Fund,MA,HENRY FORD HEALTH SYSTEM Office of Philanthropy One Ford Place Suite,5a Detroit,MI, ,2015,500,,
Fidelity Investments Charitable Gift Fund,MA,HENRY FORD HEALTH SYSTEM Office of Philanthropy One Ford Place Suite,5a Detroit,MI, ,2015,200,,
Fidelity Investments Charitable Gift Fund,MA,Henry Ford Health System Foundation,Detroit,MI,Health ,2015,100,,
Fidelity Investments Charitable Gift Fund,MA,HENRY FORD HEALTH SYSTEM Office of Philanthropy One Ford Place Suite,5a Detroit,MI, ,2015,50,,
At&t Foundation,TX,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2015,25,,Cause Card
Bank of America Charitable Foundation,NC,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2014,500,,Program/operating support
New York Life Foundation,NY,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2012,50000,Continuing support,
New York Life Foundation,NY,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2011,50000,,
William Davidson Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Health ,2008,1000000,,
Sinai Medical Staff Foundation,MI,Henry Ford Health System Government Affairs Services,Detroit,MI,Health ,2008,20000,,
Dte Energy Foundation,MI,Henry Ford Health System Foundation,Detroit,MI,Community health care ,2006,1000,,
Herrick Foundation,MI,Henry Ford Health System - Department of Neurosurgery,Detroit,MI,Neurology ,2004,100000,Research,For neurosurgery research
The Denver Foundation,CO,Henry Ford Health System - Vattikuti Urology Institute,Detroit,MI,Cancers ,2004,30000,Research,For research of robotic surgery for cancer
The Williams Family Fund,MI,Henry Ford Health System - Henry Ford Heart and Vascular Institute,Detroit,MI, ,2004,25000,General support,For general support
