Grantmaker.Name,Contact,Street.Address.1,Street.Address.2,City,State,ZIP.Code,Country,Telephone,Fax,E.mail,URL,Total.Assets,Total.Giving,Amount.Funded,Grant.Count,RFPs
Kutsche Charitable Trust,,PO Box 630858,NA,Cincinnati,OH,45263-0858,United States,513-534-5310,,,,2532312,144000,414843,11,0
Morgan Stanley Global Impact Funding Trust Inc,,C/O Renpsg 8910 Purdue Rd 500,NA,INDIANAPOLIS,IN,46268,United States,800-843-0050,,support@msdonoradvisedfund.com,http://MSGIFT.DONORFIRSTX.COM,7062576748,1198809812,369500,11,0
Fremont Area Community Foundation,,4424 W 48th St,NA,Fremont,MI,49412-8721,United States,231-924-5350,231-924-5391,skasprzyski@facommunityfoundation.org,http://www.facommunityfoundation.org,268983898,7329890,141613,11,0
John W Blodgett Irrevocable Trust,,PO Box 653067,NA,Dallas,TX,75265-3067,United States,888-866-3275,,,,299885,11555,124155,11,0
Robert Graham Hospital Fund Utgf,,PO Box 653067,NA,Dallas,TX,75265-3067,United States,888-866-3275,,,,324743,12738,67602,11,0
GE Aerospace Foundation.,,901 Main Ave # 801-4,NA,Norwalk,CT,06851-1168,United States,617-443-3080,,gefoundation@ge.com,https://www.geaerospace.com/company/philanthropy,17339609,4330388,5480,11,0
The Wege Foundation,,99 Monroe Ave NW Ste 902,NA,Grand Rapids,MI,49503-6210,United States,616-957-0480,,,http://WWW.WEGEFOUNDATION.COM,336225363,18919489,4e+05,10,0
HEART OF WEST MICHIGAN UNITED WAY,,118 Commerce Ave SW Ste 100,NA,Grand Rapids,MI,49503-4106,United States,616-459-6281,(616) 459-8460,mvandyke@hwmuw.org,http://www.hwmuw.org,33875774,6008118,338325,10,0
River City Foundation,,2287 Hillside Ct,NA,Dexter,MI,48130-1702,United States,6168639182,,,,35207121,2852743,337284,10,0
Peter C & Emajean Cook Foundation,,2900 Charlevoix Dr SE Ste 130,NA,Grand Rapids,MI,49546-7049,United States,616-975-2249,,,http://COOKFOUNDATIONGR.ORG,49931331,3967335,114250,10,0
Joseph Foundation,,3767 Bradford St NE,NA,Grand Rapids,MI,49525-3324,United States,6162850714,,,,285212,20000,27500,10,0
Kent Community Health Foundation,,100 Corewell Dr NW,NA,Grand Rapids,MI,49503-2041,United States,866-989-7999,,,,13910264,8942614,24724744,9,0
The Cold Heading Foundation,,21777 Hoover Rd,NA,Warren,MI,48089-2544,United States,586-497-7000,,,,30034440,1127500,556500,9,0
The Children's Hospital of Philadelphia,Peggy Flynn,3401 Civic Center Blvd,NA,Philadelphia,PA,19104-4319,United States,215-590-1000,,,http://www.chop.edu,8131937980,56679163,432303,9,0
Springview Foundation,,99 E 8th St Ste 310,NA,Holland,MI,49423-3562,United States,616-298-2231,,,,9177204,395000,374960,9,0
Hemophilia Foundation of Michigan,,1921 W Michigan Ave,NA,Ypsilanti,MI,48197-4816,United States,734-544-0015,(734) 544-0095,hfm@hfmich.org,http://WWW.HFMICH.ORG,2911568,989012,334565,9,0
Raymond James Charitable Endowment Fund,,PO Box 23559,NA,St Petersburg,FL,33742-3559,United States,727-567-4861,(727) 567-8040,RJCEF@raymondjames.com,http://WWW.RAYMONDJAMESCHARITABLE.ORG,1932993768,313543977,230700,9,0
Grand Haven Area Community Foundation Inc,"Ann Tabor, President",6 Sherman Ave,NA,Grand Haven,MI,49417-1781,United States,616-842-6378,(616) 842-9518,lgrevel@ghacf.org,http://WWW.GHACF.ORG,182746977,9424307,121580,9,0
Bank of America Charitable Foundation,"Jennifer Silvania, Senior Vice President",401 N Tryon St Nc1-021-06-01,NA,Charlotte,NC,28255-0001,United States,980-386-9127,,,https://about.bankofamerica.com/en/making-an-impact/charitable-foundation-funding,7556845,225641539,111126,9,0
Enterprise Holdings Foundation,,600 Corporate Park Dr,NA,St Louis,MO,63105-4204,United States,314-512-5000,(314) 512-4754,foundation@ehi.com,http://WWW.GUIDESTAR.ORG,598877143,72865681,33500,9,0
Jpmorgan Chase Foundation,Jp Morgan Chase,383 Madison Ave Fl 41,NA,New York City,NY,10017-3217,United States,212-270-6000,,east.giving@jpmchase.com,https://www.jpmorganchase.com/impact,1219377637,202504945,2185,9,0
Johnson & Johnson Foundation United States Inc,,1 Johnson and Johnson Plz,NA,New Brunswick,NJ,08933-0001,United States,17325242455,,,https://www.jnj.com/caring,168420660,52464104,475,9,0
Rordor Foundation,,19700 Beach Rd Ph N,NA,Jupiter,FL,33469-3802,United States,561-262-0712,,,,144025,10000,1613000,8,0
The Eugene Applebaum Family Foundation,,480 Pierce St Ste 200,NA,Birmingham,MI,48009-6020,United States,248-593-8840,,,,121125,806674,1376100,8,0
John and Judy Spoelhof Foundation,,151 Central Ave Ste 200,NA,Holland,MI,49423-2831,United States,616-494-7400,,,,49629599,2098750,676000,8,0
Steve & Amy Van Andel Foundation,,3133 Orchard Vista Dr SE,NA,Grand Rapids,MI,49546-7033,United States,616-942-3268,,,,99226020,7833503,643000,8,0
Donald and Mary Kosch Foundation,,9 W Lane,NA,Dearborn,MI,48124-1193,United States,313-562-1368,,,,7883981,N/A,625500,8,0
"National Breast Cancer Foundation, Inc.","Mandy O'neill, Svp, Development; Rebecca Buell, Chief Financial Officer",7460 Warren Pkwy Ste 150,NA,Frisco,TX,75034-4269,United States,972-248-9200,972-248-6770,rbuell@nbcf.org,https://www.nationalbreastcancer.org/,22970784,10113807,426376,8,0
The Rodney Fund,,5618 Putnam Dr,NA,West Bloomfield,MI,48323-3721,United States,248-352-8108,,,,17056062,1610000,255000,8,0
Mayo Clinic,,200 1st St SW,NA,Rochester,MN,55905-0001,United States,507-538-1297,(507) 538-7802,,http://WWW.MAYOCLINIC.ORG,23339620165,937924597,230631,8,0
Leslie Tassell Foundation DBA Tassell-Wisner-Bottrall Foundation,,2951 Thornhills Ave SE,NA,Grand Rapids,MI,49546-7154,United States,6164810582,,,,9595652,578750,209000,8,0
Ralph L & Winifred E Polk Foundation,,260 E Brown St Ste 280,NA,Birmingham,MI,48009-6231,United States,248-385-5285,,,,15420471,752500,1e+05,8,0
Onequest Foundation,,205 Norwood Ave,NA,Holland,MI,49424-2730,United States,616-786-0900,,,,913149,1075000,42500,8,0
Jim and Ginger Jurries Foundation,,347 Settlers Rd Ste 120,NA,Holland,MI,49423-3994,United States,616-396-5211,,,,1463730,742075,39460,8,0
Rev Foundation,,200 Monroe Ave NW,NA,Grand Rapids,MI,49503-2213,United States,616-643-4700,,,,42480,271050,29000,8,0
Johns Family Foundation,,2500 E Beltline Ave SE Ste G367,NA,Grand Rapids,MI,49546-5987,United States,616-399-6371,,,,1019163,53000,19000,8,0
Wk Kellogg Foundation,,1 Michigan Ave E,NA,Battle Creek,MI,49017-4005,United States,269-968-1611,(268) 968-0413,communications@wkkf.org,http://www.wkkf.org,454402214,286480516,11256607,7,0
Corewell Health Group Return,,100 Corewell Dr NW,NA,Grand Rapids,MI,49503-2041,United States,866-989-7999,,,http://WWW.COREWELLHEALTH.ORG,8720835664,5976567,4742564,7,0
The Carls Foundation,,6001 N Adams Rd Ste 215,NA,Bloomfield Hills,MI,48304-1576,United States,248-434-5512,(313) 965-0547,,http://WWW.CARLSFDN.ORG,147060567,7689511,4389551,7,0
Grosfeld Foundation,,1 Towne Sq Ste 1600,NA,Southfield,MI,48076-3728,United States,313-256-7610,,,,121004,6307,2426500,7,0
Marvin and Betty Danto Family Foundation,,1700 Stutz Dr Ste 25,NA,Troy,MI,48084-4502,United States,248-649-4770,,,,29441048,3451500,940000,7,0
Gladys Friant Trust Under Will,,PO Box 630858,NA,Cincinnati,OH,45263-0858,United States,800-400-0439,,,,3354060,196121,495952,7,0
Pnc Foundation,,300 5th Ave,NA,Pittsburgh,PA,15222-2401,United States,412-565-4532,(412) 705-3584,stephanie.garbe@pnc.com,https://www.pnc.com/en/about-pnc/corporate-responsibility/philanthropy/pnc-foundation.html,126633811,82865128,254200,7,0
The Barton Malow Foundation,,26500 American Dr,NA,Southfield,MI,48034-2252,United States,248-436-5000,,,,1310718,778161,165000,7,0
Jandernoa Foundation C/o Michael Jandernoa,,171 Monroe Ave NW Ste 410,NA,Grand Rapids,MI,49503-2634,United States,616-325-2100,,,,3220015,838167,141300,7,0
June and Cecil McDole Foundation,,40900 Woodward Ave Ste 340,NA,Bloomfield Hills,MI,48304-5121,United States,248-353-1530,,,,5341140,244100,87500,7,0
Community Foundation for Muskegon County,,425 W Western Ave Ste 200,NA,Muskegon,MI,49440-1101,United States,231-722-4538,(231) 722-4616,info@cffmc.org,http://WWW.MUSKEGONFOUNDATION.ORG,233413617,15720180,84146,7,0
The Baum Family Foundation,,660 Indian Hills Dr,NA,Hastings,MI,49058-9480,United States,269-945-5009,,,,14822025,725000,81100,7,0
Jacob Best Foundation,,701 S Howard Ave Ste 106-392,NA,Tampa,FL,33606-2473,United States,813-280-9948,,,,5156021,222000,56900,7,0
Jack and Lija Romence Family Foundation,,2654 Shadowbrook Dr SE,NA,Grand Rapids,MI,49546-7460,United States,616-949-8304,,,,2668765,117040,31310,7,0
Morley Foundation,,1 Tuscola St,NA,Saginaw,MI,48607-1287,United States,989-753-3438,,,HTTPS://WWW.MORLEYFDN.ORG/,4246615,190950,6625,7,0
Illinois Tool Works Foundation,,155 Harlem Ave,NA,Glenview,IL,60025-4075,United States,,,,,328623,9492832,3225,7,0
American Endowment Foundation,Josh Walker,5700 Darrow Rd,NA,Hudson,OH,44236-5026,United States,888-440-4233,330-656-2063,joshwalker@aefonline.org,http://www.aefonline.org,7145882316,1229386619,1793500,6,0
Community Foundation of the Holland Zeeland Area,,85 E 8th St,NA,Holland,MI,49423-0002,United States,616-396-6590,(616) 396-3573,info@cfhz.org,http://cfhz.org/,127748169,13037510,1246894,6,0
National Philanthropic Trust,,165 Township Line Rd Ste 1200,NA,Jenkintown,PA,19046-3549,United States,1-888-878-7900,(215) 277-3029,npt@nptrust.org,http://WWW.NPTRUST.ORG,42227968504,5563257810,731000,6,0
Ford Philanthropy,,1 American Rd,NA,Dearborn,MI,48126-2701,United States,3132487210,(313) 594-7001,fordfund@ford.com,http://WWW.FORDFUND.ORG,195032102,38858157,661500,6,0
Seattle Children's Hospital,,PO Box 5371,NA,Seattle,WA,98145-5005,United States,206-884-2378,,warren.hewitt@seattlechildrens.org,http://WWW.SEATTLECHILDRENS.ORG,4895703194,57489875,592944,6,0
Barry Community Foundation,,231 S Broadway St,NA,Hastings,MI,49058-1835,United States,269-945-0526,(269) 945-0826,info@barrycf.org,http://WWW.BARRYCF.ORG,56406726,2379064,500600,6,0
Michigan Health & Hospital Association D/b/a Mha,,2112 University Park Dr,NA,Okemos,MI,48864-3972,United States,517-886-8254,,,http://WWW.MHA.ORG,39525175,33957317,417154,6,0
Gillett Family Foundation,,3100 Boynton Ave NE,NA,Ada,MI,49301-9748,United States,616-915-6024,,,,5885546,268000,150000,6,0
Robell Foundation,,4080 Camelot Ridge Dr SE,NA,Grand Rapids,MI,49546-2420,United States,616-774-3159,,,,206707,12000,150000,6,0
Samuel I Newhouse Foundation Inc,,1 World Trade Ctr,NA,New York City,NY,10007-0042,United States,212-286-6900,,,http://WMEWHOUSEAWARDS.COM,221028251,13750166,126000,6,0
Trott Foundation,,266 Elm St Ste 100,NA,Birmingham,MI,48009-6337,United States,2487235742,,,,5191433,199500,117000,6,0
Trust Uw William Gilbert,,PO Box 630858,NA,Cincinnati,OH,45263-0858,United States,513-534-5310,,,,228662,12226,88827,6,0
Millerknoll Foundation,,PO Box 1558,NA,Columbus,OH,43216-1558,United States,313-222-5067,,hermanmillercares@hermanmiller.com,https://www.hermanmiller.com/our-values/community-service/,9092511,1117223,54661,6,0
Hy and Greta Berkowitz Foundation,,6305 Great Meadow Rd,NA,Dedham,MA,02026-4089,United States,,,,,N/A,1000913,28000,6,0
Sieg Dunlap Foundation,,41000 Woodward Ave,NA,Bloomfield Hills,MI,48304-5130,United States,248-594-5770,,bqasawa@lopreteandlyneispc.com,,9307947,522208,21000,6,0
Perrigo Company Charitable Foundation,,515 Eastern Ave,NA,Allegan,MI,49010-9070,United States,2696738451,,perrigofoundation@perrigo.com,http://WWW.PERRIGO.COM/ABOUT/PERRIGO-,626424,1034964,12000,6,0
Linda Petro Ulrey and Laurence A Ulrey Family Foundation Inc,,1236 Hidden Lake Dr,NA,Bloomfield Hills,MI,48302-1955,United States,586-254-1040,,,,265359,22200,10652,6,0
Liberty Mutual Foundation,,175 Berkeley St,NA,Boston,MA,02116-5066,United States,617-357-9500,,foundation@LibertyMutual.com,http://WWW.LIBERTYMUTUALFOUNDATION.ORG,48111171,52239174,3508,6,0
John E Fetzer Institute Inc,,9292 W Kl Ave,NA,Kalamazoo,MI,49009-5316,United States,269-375-2000,(269) 372-2163,info@fetzer.org,http://WWW.FETZER.ORG,778712012,10493914,1100,6,0
Feeding America West Michigan,"Kenneth Estelle, Chief Executive Officer",864 W River Center Dr NE,NA,Comstock Park,MI,49321-8955,United States,616-784-3250,6167843255,bward@wmgleaners.org,http://WWW.FEEDWM.ORG,28092763,41576044,NA,6,0
Eagle Feather Foundation,,PO Box 1269,NA,Alpharetta,GA,30009-1269,United States,404-252-0100,,,,19352129,4164942,2400000,5,0
Michigan Center for Rural Health,,Msu B-218 Fee Hall,NA,EAST LANSING,MI,48824-0000,United States,5174329216,,,http://WWW.MCRH.MSU.EDU,1144155,1787133,880550,5,0
Rite Aid Healthy Futures,,200 Newberry Cmns,NA,Etters,PA,17319-9363,United States,717-972-3940,,HealthyFutures@RiteAid.com,http://RITEAIDHEALTHYFUTURES.ORG,22357023,10577285,545300,5,0
Douglas a & Margaret E Decamp Foundation,,102 Cook Rd,NA,Hastings,MI,49058-9629,United States,616-945-4700,,,,9432103,1091007,505000,5,0
Richard and Jane Manoogian Foundation,,330 Town Center Dr Ste 730,NA,Dearborn,MI,48126-2719,United States,313-274-8799,,,,25041367,1453336,385000,5,0
James and Catherine Rosenthal Foundation,,360 Cranbrook Rd,NA,Bloomfield Hills,MI,48304-3408,United States,248-593-3660,,,,1082432,87380,275000,5,0
O'donovan Family Foundation,,4245 N Oak Pointe Ct NE,NA,Grand Rapids,MI,49525-9415,United States,616-361-1448,,,,9851654,408500,163500,5,0
The Fraternal Order of Eagles Foundation,,1623 Gateway Cir,NA,Grove City,OH,43123-9309,United States,614-883-2194,(614) 883-2201,,http://WWW.FOE.COM,15955534,3877152,159710,5,0
Amyotrophic Lateral Sclerosis Association,,1300 Wilson Blvd Ste 600,NA,Arlington,VA,22209-2335,United States,202-407-8580,202-464-8869,teri.harris@als.org,http://www.als.org,127891549,22892366,125000,5,0
The Kirk Gibson Foundation for Parkinson's,"Mark Roberts, Director Of Development; Steve Annear",280 N Old Woodward Ave Ste 106,NA,Birmingham,MI,48009-5391,United States,313-823-2317,,team23@kirkgibsonfoundation.org,https://www.kirkgibsonfoundation.org,3687734,203700,1e+05,5,0
Muscular Dystrophy Association,,1016 W Jackson Blvd Ste 3550 PMB 1073,NA,Chicago,IL,60607-2914,United States,800-572-1717,(520) 529-5454,mroth@mdausa.org,http://www.mda.org,66561388,14912477,77500,5,0
Albemarle Foundation,,4250 Congress St Ste 900,NA,Charlotte,NC,28209-0044,United States,980-299-5531,,Sandra.Holub@albemarle.com,http://WWW.ALBEMARLEFOUNDATION.ORG,29347331,5443003,25000,5,0
Louis and Helen Padnos Foundation,,PO Box 1979,NA,Holland,MI,49422-1979,United States,616-396-6521,,,,6109062,244500,24100,5,0
James & Almeda Vander Waals Foundation,,PO Box 3636,NA,Grand Rapids,MI,49501-3636,United States,,,,,N/A,842938,12500,5,0
Coleman Family Foundation,,392 N Lakeshore Dr,NA,Holland,MI,49424-1342,United States,616-481-0064,,,,25685,8000,11500,5,0
Amazonsmile Foundation,Sachin Shah,PO Box 81226,NA,Seattle,WA,98108-1300,United States,,,,,34209763,93155183,9226,5,0
Borgwarner Foundation,,3850 Hamlin Rd,NA,Auburn Hills,MI,48326-2872,United States,,,,,N/A,121000,8400,5,0
Essendant Charitable Foundation Attn Tax,,1 Parkway North Blvd Ste 100,NA,Deerfield,IL,60015-2559,United States,847-627-7000,,,HTTPS://WWW.ESSENDANT.COM/ESSE,1621495,176380,6145,5,0
Edp Foundation,,5940 Tahoe Dr SE,NA,Grand Rapids,MI,49546-7121,United States,616-949-7250,,,,24774752,850000,4650,5,0
First Steps Kent,,401 Hall St SW Ste 385,NA,Grand Rapids,MI,49503-5098,United States,616-632-1003,,mstreng@firststepskent.org,http://www.firststepskent.org,4830339,9996503,2663672,4,0
Edward & Helen Mardigian Foundation,,PO Box 75000,NA,Detroit,MI,48275-7874,United States,2486458947,,,,46434182,2070500,5e+05,4,0
"American Heart Association, Inc.",,7272 Greenville Ave,NA,Dallas,TX,75231-5129,United States,800-,(214) 706-1341,Ahacommunications@heart.org,http://www.heart.org/,1926864938,224524671,469999,4,0
Detroit & Wayne County Tuberculosis Foundation,,100 Maple Park Blvd Ste 152,NA,St Clair Shores,MI,48081-2253,United States,586-498-1286,,,,32111310,2258843,315557,4,0
Charles Foundation,,Co Bessemer-1225 Franklin Ave 500,NA,Garden City,NY,11530,United States,516-508-9623,,,,3949878,195000,275000,4,0
Racingawareness-Com,,2025 Deerfield Dr NW,NA,Grand Rapids,MI,49534-7573,United States,616-813-3084,,,http://RACINGAWARENESS.COM,25660,101260,247760,4,0
Robert F Beard Charitable Foundat'n C/o James R Clark,,PO Box 698,NA,Ada,MI,49301-0698,United States,616-460-6617,,,,11453331,632500,229875,4,0
The Reinvestment Fund,"Emma Garcia, Manager",1700 Market St Fl 19,NA,Philadelphia,PA,19103-3904,United States,215-574-5800,(215) 574-5900,info@trfund.com,http://WWW.REINVESTMENT.COM,669610468,15057654,206050,4,0
The Doornink Foundation,,150 Ottawa Ave 1500 Warner Bldg,NA,GRAND RAPIDS,MI,49503,United States,616-752-2156,,,,22937413,908314,2e+05,4,0
United Jewish Foundation,,6735 Telegraph Rd,NA,Bloomfield Hills,MI,48301-3141,United States,248-642-4260,(248) 645-7879,tcohen@jfmd.org,http://WWW.JEWISHDETROIT.ORG,674906226,47155970,187040,4,0
"American Cancer Society, Inc.",Acs Eft; Kevin Williams,270 Peachtree St NW Ste 1300,NA,Atlanta,GA,30303-1246,United States,800-227-2345,(404) 321-4669,kevin.williams@cancer.org,http://www.cancer.org,1809676040,194769766,180000,4,0
Fifth Third Trust,,PO Box 630858,NA,Cincinnati,OH,45263-0858,United States,513-534-5310,(513) 534-0960,,,13100387,22521612,160000,4,0
Parkinson's Foundation,Laura Higgins,1359 Broadway Rm 1509,NA,New York City,NY,10018-7867,United States,800-457-6676,212-923-4778,lhiggins@parkinson.org,http://www.parkinson.org,62045139,11250290,105821,4,0
Harry A. and Margaret D. Towsley Foundation,,924 N Main St Ste 1,NA,Ann Arbor,MI,48104-1067,United States,734-660-2170,,,http://TOWSLEYFOUNDATION.ORG,76940306,3619754,1e+05,4,0
Vanguard Charitable,,45 Liberty Blvd Ste 220,NA,Malvern,PA,19355-1419,United States,888-383-4483,866-485-9414,amin_farooqui@vanguardcharitable.org,http://vanguardcharitable.org,22173441530,3057423430,71250,4,0
Beatrice & Reymont Paul Foundation,,5912 Shillingham Dr,NA,West Bloomfield,MI,48322-1557,United States,248-406-0005,,,http://WWW.PAULFOUNDATION.ORG,1643950,59205,62500,4,0
Barron Family Foundation,,5970 Wing Lake Rd,NA,Bloomfield Hills,MI,48301-1256,United States,248-357-1995,,,,1459355,121200,54000,4,0
Mary and George Herbert Zimmerman Foundation (att Joan C Skrzyniarz),,2600 W Big Beaver Rd Ste 300,NA,Troy,MI,48084-3312,United States,248-433-7521,,,,7139594,317235,38500,4,0
Wilkinson Foundation,,13765 Waterloo Rd,NA,Chelsea,MI,48118-9116,United States,734-904-1484,,,,8275618,352000,29000,4,0
Seizert Family Foundation,,615 W Brown St,NA,Birmingham,MI,48009-1496,United States,248-970-0900,,,,537412,39500,25000,4,0
Ufp Industries Foundation,,2801 E Beltline Ave NE,NA,Grand Rapids,MI,49525-9680,United States,6163646161,,,,6915700,N/A,23500,4,0
The Mall Family Foundation,,PO Box 560,NA,Rockford,MI,49341-0560,United States,616-866-5024,,,,3513464,150000,22500,4,0
Anna C Gamble Foundation,,9204 Columbia Ave,NA,Munster,IN,46321-3570,United States,219-853-7080,,,,878138,37500,20000,4,0
The Aletheia Foundation,,PO Box 127,NA,Belmont,MI,49306-0127,United States,616-866-1561,,,,58328,482096,17500,4,0
The Fruehauf Foundation,,Sentinel Tr 2001 Kirby Dr 1200,NA,HOUSTON,TX,77019,United States,713-529-3729,,,,5173174,244000,16000,4,0
John Bouma Sr and Sharon K Bouma Foundation,,2915 N Lakeshore Dr,NA,Holland,MI,49424-6023,United States,,,,,1,89750,12000,4,0
Wm O and Margaret H Dewitt Foundation,,3061 Madison Rd,NA,Cincinnati,OH,45209-1741,United States,513-241-8716,,,,2762267,255000,9000,4,0
Michael and Andrea Abraham Foundation,,200 Monroe Ave NW,NA,Grand Rapids,MI,49503-2213,United States,616-643-4700,,,,66165,269000,4000,4,0
Nate and Elissa Lowery Foundation,,200 Monroe Ave NW,NA,Grand Rapids,MI,49503-2213,United States,616-643-4700,,,,32098,71500,4000,4,0
Cole Family Foundation,,4569 Canterwood Dr NE,NA,Ada,MI,49301-8712,United States,6163651540,,,,66117,10436,3600,4,0
Steven and Kathryn Bandstra Foundation,,800 E Ellis Rd # 504,NA,Norton Shores,MI,49441-5622,United States,231-799-6870,,,,3797262,212200,2820,4,0
The Dennis and Nancy Gershenson Family Foundaton,,31500 Northwestern Hwy Ste 100,NA,Farmington Hills,MI,48334-2568,United States,248-785-2300,,,,220417,9800,2400,4,0
Lamb Weston Charitable Foundation,"Carrie Cereghino, Foundation Coordinator",599 S Rivershore Ln,NA,Eagle,ID,83616-4979,United States,208-938-1047,,carrie.cereghino@lambweston.com,https://www.lambweston.com/,13587607,1206618,200,4,0
Eileen Devries Family Foundation,,2249 Wealthy St SE Ste 240,NA,East Grand Rapids,MI,49506-3052,United States,616-774-4444,,,,10873743,1144000,NA,4,0
Weller Family Foundation,,111 Lyon St NW # 5b,NA,Grand Rapids,MI,49503-2406,United States,866-488-0017,,,,7121116,165775,1536817,3,0
Edward C and Linda Dresner Levy Foundation,,12030 Sunrise Valley Dr Ste 450,NA,Reston,VA,20191-3400,United States,703-437-9720,,,,21482779,7075917,900500,3,0
Gilbert Family Foundation,,1074 Woodward Ave,NA,Detroit,MI,48226-1906,United States,313-782-9500,,,https://gilbertfamilyfoundation.org/,1836,N/A,9e+05,3,0
Barnabas Foundation,,3801 Eagle Nest Dr Ste B,NA,Crete,IL,60417-1993,United States,708-532-3444,(708) 532-1217,info@barnabasfoundation.com,http://www.barnabasfoundation.com,428082293,60753779,762600,3,0
