Grantmaker Name,Contact,Street Address 1,Street Address 2,City,State,ZIP Code,Country,Telephone,Fax,E-mail,URL,Total Assets,Total Giving,Amount Funded,Grant Count,RFPs
J Horne Decd for University of Pit Medical Center,,500 1st Ave,,Pittsburgh,PA,15219-3128,United States,412-209-4730,,,http://WWW.PNC.COM,2719264,106245,51666,1,0
National Psoriasis Foundation,,1800 Diagonal Rd Ste 360,,Alexandria,VA,22314-2842,United States,800-723,703-842-8105,lhoward@psoriasis.org,https://www.psoriasis.org,14679906,2930843,50000,1,0
Nelson & Claudia Peltz Family Foundation,,548 N County Rd,,Palm Beach,FL,33480-3507,United States,212-451-3000,,,,35554890,1886333,50000,1,0
Women As One Inc,,574 Ritchie Hwy,,Severna Park,MD,21146-2951,United States,410-647-7370,,,http://WOMENASONE.ORG,1240146,81000,50000,1,0
Highmark Foundation,,120 5th Ave,,Pittsburgh,PA,15222-3000,United States,412-544-6668,(412) 544-6120,info@highmarkfoundation.org,https://www.highmarkfoundation.com/index.shtml#gsc.tab=0,116255484,13762385,42817,1,0
Myers Family Foundation,,1001 Liberty Ave Ste 1150,,Pittsburgh,PA,15222-3789,United States,412-392-2509,,,,N/A,3578,35000,1,0
Posner Foundation of Pittsburgh,"Anne Marie Toccket, Executive Director",535 Smithfield St # 960,,Pittsburgh,PA,15222-2393,United States,412-928-7701,,info@posnerfoundation.org,http://POSNERFOUNDATION.ORG,304555270,17092753,25500,1,0
The Mascaro Family Foundation,,1720 Metropolitan St,,Pittsburgh,PA,15233-2232,United States,412-321-4901,,,,13014845,698510,24200,1,0
Beatrice L Jacobson Char Foundation,,500 1st Ave,,Pittsburgh,PA,15219-3128,United States,412-442-3927,,,,1002968,43864,20960,1,0
James Frances Mccandless Trust,,500 1st Ave,,Pittsburgh,PA,15219-3128,United States,412-442-3927,,charitabletrusts@pnc.com,http://pncsites.com/pncfoundation/cha,5993219,248022,20000,1,0
Judy and Peter Blum Kovler Foundation,,1025 Thomas Jefferson St NW Ste 400w,,Washington,DC,20007-5253,United States,202-413-4049,,,,140196942,5301881,20000,1,0
John R Lucash Scholarship Trust,,PO Box 11647,,Birmingham,AL,35202-1647,United States,205-820-3141,,,,1103321,46935,16560,1,0
Hillman Foundation,,310 Grant St Ste,,Pittsburgh,PA,15219-2309,United States,412-338-3466,(412) 338-3463,foundation@hillmanfo.com,http://www.hillmanfdn.org,N/A,2349568,15000,1,0
J B Finley Charitable Trust,,500 1st Ave,,Pittsburgh,PA,15219-3128,United States,412-258-3051,,charitabletrusts@pnc.com,http://pncsites.com/pncfoundation/cha,2442051,107145,15000,1,0
Scott Foundation Inc,,1225 S Main St Ste 404,,Greensburg,PA,15601-5370,United States,4129998089,,,,115351306,2875242,15000,1,0
Elizabeth Buford Shepherd Scholarship,,PO Box 11647,,Birmingham,AL,35202-1647,United States,205-820-3141,,,,1596972,60000,13500,1,0
Cutaneous Lymphoma Foundation,"Holly Priebe, Chief Operating And Financial Officer",31201 Chicago Rd S Ste B201,,Warren,MI,48093-5500,United States,248-644-9014,(248) 644-9014,holly@clfoundation.org,http://clfoundation.org,1203956,4500,12500,1,0
Hanover Hospital Auxiliary,,300 Highland Ave,,Hanover,PA,17331-2203,United States,717-316-2281,,,http://WWW.UPMCPINNACLEFOUNDATION.ORG,160934,5556,10600,1,0
Ppg Industries Foundation,,1 Ppg Pl,,Pittsburgh,PA,15272-0001,United States,412-434-2962,,foundation@ppg.com,http://www.ppgcommunities.com,20202265,9572540,10050,1,0
American Laryngological Association,,PO Box 941,,Antioch,TN,37011-0941,United States,615-812-6170,,,http://WWW.ALAHNS.COM,2072255,N/A,10000,1,0
Central Indiana Community Foundation Inc.,,615 N Alabama St Ste 300,,Indianapolis,IN,46204-1431,United States,317-634-2423,317-684-0943,jens@cicf.org,http://www.cicf.org,546807672,33412041,10000,1,0
Endocrine Fellows Foundations,,PO Box 310,,Marion,CT,06444-0310,United States,8605867574,(860) 586-7550,info@endocrinefellows.org,http://www.endocrinefellows.org,722356,27500,10000,1,0
John Allen Thresh Memorial Trust,,PO Box 11647,,Birmingham,AL,35202-1647,United States,205-820-3141,,,,469520,20000,10000,1,0
Rockwell Foundation,,116 Allegheny Center Mall # P8yb35,,Pittsburgh,PA,15212,United States,4129951769,,,,15241608,720000,10000,1,0
THE WEIL FOUNDATION,Christine Willett,PO Box 13006,,Tucson,AZ,85732-3006,United States,520-647-7865,,christine@weilfoundation.org,http://www.weilfoundation.org,1624730,1216790,10000,1,0
United Way of Southwestern Pennsylvania,"Bobbi Watt Geer, President And Ceo; Linda Jones, Executive Vice President & Chief Development Officer",1250 Penn Ave,,Pittsburgh,PA,15222-4257,United States,412-261-6010,412-394-5376,bobbi.wattgeer@unitedwayswpa.org,https://www.unitedwayswpa.org,83597297,18607778,8404,1,0
University of Pittsburgh,,116 Atwood St Ste 201,,Pittsburgh,PA,15213-3402,United States,412-624-3189,412-624-3911,,http://WWW.PITT.EDU,9680542422,429008070,8000,1,0
Triangle Community Foundation,Latoya King,800 Park Offices Dr Ste 201,,Durham,NC,27709,United States,919-474-8370,919-941-9208,latoya@trianglecf.org,http://www.trianglecf.org,281678721,27763458,7500,1,0
EQT Foundation,Ellen Rossi,625 Liberty Ave Ste 1700,,Pittsburgh,PA,15222-3114,United States,412-553-5940,,erossi@eqt.com,https://www.eqt.com/our-communities/eqt-foundation,29043383,4010212,6750,1,0
Robert J Weis and Susan K Weis Foundation,,10040 E Happy Valley Rd Unit 55,,Scottsdale,AZ,85255-2366,United States,724-639-3551,,,,495845,40000,6625,1,0
The Birmingham Foundation,,320 Brownsville Rd,,Pittsburgh,PA,15210-2249,United States,412-481-2777,(412) 481-2727,info@bfpgh.org,http://WWW.BIRMINGHAMFOUNDATION.ORG,24310952,1425702,5500,1,0
Ben Silverman Foundation,,1880 Century Park E Ste 1600,,Los Angeles,CA,90067-1661,United States,3105531707,,,,258188,162066,5000,1,0
Deutsche Bank Americas Foundation,,1 Columbus Cir Stop,,New York City,NY,10019-8735,United States,212-250-2500,(212) 797-2255,,http://country.db.com/usa/responsibil,47753465,9017216,5000,1,0
Donna & Harry B McDonald Charitable Tr,,PO Box 1558,,Columbus,OH,43216-1558,United States,2166945656,,,,5818734,350500,5000,1,0
Emerson Charitable Trust,,The Northern Trust Company,,PO BOX CHICA,IL,60680,United States,312-630-6000,(314) 553-1605,,http://www.emerson.com/en-us/about-us/corporate-social-responsibility/community-involvement,35135236,15905858,5000,1,0
Foster Charitable Trust,,681 Andersen Dr Ste 300,,Pittsburgh,PA,15220-2766,United States,412-928-8900,,,,2899930,184770,5000,1,0
The Fraternal Order of Eagles Foundation,,1623 Gateway Cir,,Grove City,OH,43123-9309,United States,614-883-2194,(614) 883-2201,,http://WWW.FOE.COM,15955534,3877152,5000,1,0
Rk Mellon Family Foundation,,PO Box 945,,Ligonier,PA,15658-0945,United States,724-238-1820,,,,59774777,2762072,5000,1,0
St Bancorp Charitable Foundation,,800 Philadelphia St,,Indiana,PA,15701-3908,United States,724-465-1441,,,http://WWW.STBANK.COM,11432,402699,5000,1,0
Mary Ann Walters Scholarship Funds Trust Uw,,800 State St Ste 500,,Erie,PA,16501-1357,United States,814-392-7815,,,,277112,13080,3800,1,0
Human Rights Campaign Foundation,,5925 State Line Rd,,Kansas City,MO,64113-1322,United States,8162558058,,,,2508828,122600,3000,1,0
Helen L Kay Charitable Trust,,PO Box 75000,,Detroit,MI,48275-7874,United States,248-984-1400,,,,6881349,330500,2500,1,0
Brooks Family Foundation,,3465 Treeline Dr,,Murrysville,PA,15668-1523,United States,724-325-4490,,,,405669,177902,2325,1,0
Greater Washington Community Foundation,"Kathy Matthews, Director Of Grants Management",1750 H St NW Ste 800,,Washington,DC,20006-4670,United States,202-955-5890,(202) 955-8084,info@thecommunityfoundation.org,http://thecommunityfoundation.org/,530876833,91271542,1563,1,0
Edward B Dunlap Jr Foundation,,12 Grandview Cir,,Canonsburg,PA,15317-8533,United States,,,,,N/A,3339,1500,1,0
Jpmorgan Chase Foundation,Jp Morgan Chase,383 Madison Ave Fl 41,,New York City,NY,10017-3217,United States,212-270-6000,,east.giving@jpmchase.com,https://www.jpmorganchase.com/impact,1219377637,202504945,1000,1,0
Fm Global Foundation,,PO Box 7500,,Johnston,RI,02919-0750,United States,401-415-1200,,,,23991621,6373477,765,1,0
Alexander C & Tillie S Speyer Foundation,,3700 S Water St Ste 100,,Pittsburgh,PA,15203-2366,United States,412-417-2638,,,,N/A,313926,500,1,0
The Fine Foundation C/o Ffc Capital Corporation,"Susan Brownlee, Executive Director",1 Ppg Pl Ste 1670,,Pittsburgh,PA,15222-5401,United States,412-444-3500,(412) 697-0872,info@thefinefoundation.org,https://thefinefoundation.org/,291241,1684600,500,1,0
The Stephen G & Thelma S Yeonas Foundation,,6862 Elm St Ste,,Mc Lean,VA,22101-3886,United States,703-883-0202,,,,N/A,82526,500,1,0
Maxim Foundation Tr Ua 03252011,,100 Crossways Park Drive West Suite,,Woodbury,NY,11797,United States,5163938300,,,,856376,150730,486,1,0
Firstenergy Foundation,,76 S Main St,,Akron,OH,44308-1812,United States,330-384-5752,,,https://www.firstenergycorp.com/community/firstenergy_foundation.html,126610340,5276512,200,1,0
Eaton Charitable Fund,,4900 Tiedeman Rd,,Brooklyn,OH,44144-2338,United States,2166895973,(216) 479-7013,barrydoggett@eaton.com,http://www.eaton.com/sustainability/community/index.htm,1170486,8080087,50,1,0
Zurn Foundation Inc (fka Rexnord Foundation Inc),,511 W Freshwater Way,,Milwaukee,WI,53204-4113,United States,(414) 808-0100,,,https://zurnelkay.com/who-we-are/social-impact,4381372,512591,50,1,0
Citizens Charitable Foundation,,1 Citizens Bank Way # Jcb115,,Johnston,RI,02919-1922,United States,401-260-4198,,,https://www.citizensbank.com/community/corporate-giving.aspx,1338872,2015224,30,1,0
Bank of America Charitable Foundation,"Jennifer Silvania, Senior Vice President",401 N Tryon St Nc1-021-06-01,,Charlotte,NC,28255-0001,United States,980-386-9127,,,https://about.bankofamerica.com/en/making-an-impact/charitable-foundation-funding,7556845,225641539,25,1,0
Chubb Charitable Foundation,,436 Walnut St # Wa09c,,Philadelphia,PA,19106-3703,United States,215-640-1000,,philanthropyUS@chubb.com,http://www.chubb.com,43474175,7415847,25,1,0
